pollen,location,from,to,value
Poaceae,DEBIED,2018-05-10 18:00:00,2018-05-10 19:00:00,0.0
Poaceae,DEVIEC,2018-05-10 18:00:00,2018-05-10 19:00:00,4.768301558
Pinus,DEBIED,2018-05-10 21:00:00,2018-05-10 22:00:00,0.0
Pinus,DEVIEC,2018-05-10 21:00:00,2018-05-10 22:00:00,391.3651273
Poaceae,DEBIED,2018-05-10 21:00:00,2018-05-10 22:00:00,14.33326425
Poaceae,DEVIEC,2018-05-10 21:00:00,2018-05-10 22:00:00,4.772745455
Pinus,DEBIED,2018-05-11 00:00:00,2018-05-11 01:00:00,0.0
Pinus,DEVIEC,2018-05-11 00:00:00,2018-05-11 01:00:00,143.0490467
Poaceae,DEBIED,2018-05-11 00:00:00,2018-05-11 01:00:00,4.732681592
Poaceae,DEVIEC,2018-05-11 00:00:00,2018-05-11 01:00:00,9.536603115
Pinus,DEBIED,2018-05-11 03:00:00,2018-05-11 04:00:00,0.0
Pinus,DEVIEC,2018-05-11 03:00:00,2018-05-11 04:00:00,52.45131713
Poaceae,DEBIED,2018-05-11 03:00:00,2018-05-11 04:00:00,0.0
Poaceae,DEVIEC,2018-05-11 03:00:00,2018-05-11 04:00:00,52.45131713
Pinus,DEBIED,2018-05-11 06:00:00,2018-05-11 07:00:00,0.0
Pinus,DEVIEC,2018-05-11 06:00:00,2018-05-11 07:00:00,42.87479336
Poaceae,DEBIED,2018-05-11 06:00:00,2018-05-11 07:00:00,14.33326425
Poaceae,DEVIEC,2018-05-11 06:00:00,2018-05-11 07:00:00,4.763865928
Pinus,DEBIED,2018-05-11 09:00:00,2018-05-11 10:00:00,0.0
Pinus,DEVIEC,2018-05-11 09:00:00,2018-05-11 10:00:00,23.84150779
Poaceae,DEBIED,2018-05-11 09:00:00,2018-05-11 10:00:00,23.24417154
Poaceae,DEVIEC,2018-05-11 09:00:00,2018-05-11 10:00:00,23.84150779
Pinus,DEVIEC,2018-05-11 12:00:00,2018-05-11 13:00:00,104.8050504
Poaceae,DEVIEC,2018-05-11 12:00:00,2018-05-11 13:00:00,38.11092743
Pinus,DEVIEC,2018-05-11 15:00:00,2018-05-11 16:00:00,219.1378327
Poaceae,DEVIEC,2018-05-11 15:00:00,2018-05-11 16:00:00,0.0
Pinus,DEVIEC,2018-05-11 18:00:00,2018-05-11 19:00:00,428.3494689
Poaceae,DEVIEC,2018-05-11 18:00:00,2018-05-11 19:00:00,14.27831563
Pinus,DEVIEC,2018-05-11 21:00:00,2018-05-11 22:00:00,457.3311291
Poaceae,DEVIEC,2018-05-11 21:00:00,2018-05-11 22:00:00,0.0
Pinus,DEVIEC,2018-05-12 00:00:00,2018-05-12 01:00:00,367.1592199
Poaceae,DEVIEC,2018-05-12 00:00:00,2018-05-12 01:00:00,4.768301558
Pinus,DEVIEC,2018-05-12 03:00:00,2018-05-12 04:00:00,195.3185031
Poaceae,DEVIEC,2018-05-12 03:00:00,2018-05-12 04:00:00,4.763865928
Pinus,DEVIEC,2018-05-12 06:00:00,2018-05-12 07:00:00,219.3418717
Poaceae,DEVIEC,2018-05-12 06:00:00,2018-05-12 07:00:00,4.768301558
Pinus,DEVIEC,2018-05-12 09:00:00,2018-05-12 10:00:00,135.7753664
Poaceae,DEVIEC,2018-05-12 09:00:00,2018-05-12 10:00:00,48.49120228
Pinus,DEVIEC,2018-05-12 12:00:00,2018-05-12 13:00:00,352.8543153
Poaceae,DEVIEC,2018-05-12 12:00:00,2018-05-12 13:00:00,9.536603115
Pinus,DEVIEC,2018-05-12 15:00:00,2018-05-12 16:00:00,314.4151513
Poaceae,DEVIEC,2018-05-12 15:00:00,2018-05-12 16:00:00,9.527731857
Pinus,DEVIEC,2018-05-12 18:00:00,2018-05-12 19:00:00,262.2565857
Poaceae,DEVIEC,2018-05-12 18:00:00,2018-05-12 19:00:00,4.768301558
Pinus,DEVIEC,2018-05-12 21:00:00,2018-05-12 22:00:00,281.3297919
Poaceae,DEVIEC,2018-05-12 21:00:00,2018-05-12 22:00:00,4.768301558
Pinus,DEVIEC,2018-05-13 00:00:00,2018-05-13 01:00:00,133.2642792
Poaceae,DEVIEC,2018-05-13 00:00:00,2018-05-13 01:00:00,4.759438544
Pinus,DEVIEC,2018-05-13 03:00:00,2018-05-13 04:00:00,24.01949208
Poaceae,DEVIEC,2018-05-13 03:00:00,2018-05-13 04:00:00,0.0
Pinus,DEVIEC,2018-05-13 06:00:00,2018-05-13 07:00:00,47.63865928
Poaceae,DEVIEC,2018-05-13 06:00:00,2018-05-13 07:00:00,19.05546371
Pinus,DEVIEC,2018-05-13 09:00:00,2018-05-13 10:00:00,123.7454021
Poaceae,DEVIEC,2018-05-13 09:00:00,2018-05-13 10:00:00,66.63213961
Pinus,DEVIEC,2018-05-13 12:00:00,2018-05-13 13:00:00,205.036967
Poaceae,DEVIEC,2018-05-13 12:00:00,2018-05-13 13:00:00,23.84150779
Pinus,DEVIEC,2018-05-13 15:00:00,2018-05-13 16:00:00,376.6958231
Poaceae,DEVIEC,2018-05-13 15:00:00,2018-05-13 16:00:00,4.768301558
Pinus,DEVIEC,2018-05-13 18:00:00,2018-05-13 19:00:00,333.470615
Poaceae,DEVIEC,2018-05-13 18:00:00,2018-05-13 19:00:00,4.763865928
Pinus,DEVIEC,2018-05-13 21:00:00,2018-05-13 22:00:00,395.7690293
Poaceae,DEVIEC,2018-05-13 21:00:00,2018-05-13 22:00:00,4.768301558
Pinus,DEVIEC,2018-05-14 00:00:00,2018-05-14 01:00:00,261.5260659
Poaceae,DEVIEC,2018-05-14 00:00:00,2018-05-14 01:00:00,14.26505814
Pinus,DEVIEC,2018-05-14 03:00:00,2018-05-14 04:00:00,85.82942804
Poaceae,DEVIEC,2018-05-14 03:00:00,2018-05-14 04:00:00,9.536603115
Pinus,DEVIEC,2018-05-14 06:00:00,2018-05-14 07:00:00,61.93025707
Poaceae,DEVIEC,2018-05-14 06:00:00,2018-05-14 07:00:00,9.527731857
Pinus,DEVIEC,2018-05-14 09:00:00,2018-05-14 10:00:00,80.98572078
Poaceae,DEVIEC,2018-05-14 09:00:00,2018-05-14 10:00:00,71.45798893
Pinus,DEBIED,2018-05-14 12:00:00,2018-05-14 13:00:00,0.0
Pinus,DEVIEC,2018-05-14 12:00:00,2018-05-14 13:00:00,310.2284546
Poaceae,DEBIED,2018-05-14 12:00:00,2018-05-14 13:00:00,26.97119617
Poaceae,DEVIEC,2018-05-14 12:00:00,2018-05-14 13:00:00,4.772745455
Pinus,DEBIED,2018-05-14 15:00:00,2018-05-14 16:00:00,0.0
Pinus,DEVIEC,2018-05-14 15:00:00,2018-05-14 16:00:00,337.9201366
Poaceae,DEBIED,2018-05-14 15:00:00,2018-05-14 16:00:00,90.77734026
Poaceae,DEVIEC,2018-05-14 15:00:00,2018-05-14 16:00:00,9.518877087
Pinus,DEBIED,2018-05-14 18:00:00,2018-05-14 19:00:00,0.0
Pinus,DEVIEC,2018-05-14 18:00:00,2018-05-14 19:00:00,358.501097
Poaceae,DEBIED,2018-05-14 18:00:00,2018-05-14 19:00:00,71.66632125
Poaceae,DEVIEC,2018-05-14 18:00:00,2018-05-14 19:00:00,4.844609419
Pinus,DEBIED,2018-05-14 21:00:00,2018-05-14 22:00:00,0.0
Pinus,DEVIEC,2018-05-14 21:00:00,2018-05-14 22:00:00,162.122253
Poaceae,DEBIED,2018-05-14 21:00:00,2018-05-14 22:00:00,47.36548162
Poaceae,DEVIEC,2018-05-14 21:00:00,2018-05-14 22:00:00,4.768301558
Pinus,DEBIED,2018-05-15 00:00:00,2018-05-15 01:00:00,0.0
Pinus,DEVIEC,2018-05-15 00:00:00,2018-05-15 01:00:00,57.21961869
Poaceae,DEBIED,2018-05-15 00:00:00,2018-05-15 01:00:00,14.32157317
Poaceae,DEVIEC,2018-05-15 00:00:00,2018-05-15 01:00:00,14.30490467
Pinus,DEBIED,2018-05-15 03:00:00,2018-05-15 04:00:00,0.0
Pinus,DEVIEC,2018-05-15 03:00:00,2018-05-15 04:00:00,104.707648
Poaceae,DEBIED,2018-05-15 03:00:00,2018-05-15 04:00:00,19.09543089
Poaceae,DEVIEC,2018-05-15 03:00:00,2018-05-15 04:00:00,14.27831563
Pinus,DEBIED,2018-05-15 06:00:00,2018-05-15 07:00:00,0.0
Pinus,DEVIEC,2018-05-15 06:00:00,2018-05-15 07:00:00,100.1343327
Poaceae,DEBIED,2018-05-15 06:00:00,2018-05-15 07:00:00,62.11081175
Poaceae,DEVIEC,2018-05-15 06:00:00,2018-05-15 07:00:00,14.30490467
Pinus,DEBIED,2018-05-15 09:00:00,2018-05-15 10:00:00,0.0
Pinus,DEVIEC,2018-05-15 09:00:00,2018-05-15 10:00:00,90.5977296
Poaceae,DEBIED,2018-05-15 09:00:00,2018-05-15 10:00:00,62.06015041
Poaceae,DEVIEC,2018-05-15 09:00:00,2018-05-15 10:00:00,71.52452337
Pinus,DEBIED,2018-05-15 12:00:00,2018-05-15 13:00:00,0.0
Pinus,DEVIEC,2018-05-15 12:00:00,2018-05-15 13:00:00,66.694123
Poaceae,DEBIED,2018-05-15 12:00:00,2018-05-15 13:00:00,14.34497443
Poaceae,DEVIEC,2018-05-15 12:00:00,2018-05-15 13:00:00,14.29159779
Pinus,DEBIED,2018-05-15 15:00:00,2018-05-15 16:00:00,0.0
Pinus,DEVIEC,2018-05-15 15:00:00,2018-05-15 16:00:00,76.29282492
Poaceae,DEBIED,2018-05-15 15:00:00,2018-05-15 16:00:00,14.34497443
Poaceae,DEVIEC,2018-05-15 15:00:00,2018-05-15 16:00:00,14.30490467
Pinus,DEBIED,2018-05-15 18:00:00,2018-05-15 19:00:00,0.0
Pinus,DEVIEC,2018-05-15 18:00:00,2018-05-15 19:00:00,95.36603115
Poaceae,DEBIED,2018-05-15 18:00:00,2018-05-15 19:00:00,14.32157317
Poaceae,DEVIEC,2018-05-15 18:00:00,2018-05-15 19:00:00,0.0
Pinus,DEBIED,2018-05-15 21:00:00,2018-05-15 22:00:00,0.0
Pinus,DEVIEC,2018-05-15 21:00:00,2018-05-15 22:00:00,23.81932964
Poaceae,DEBIED,2018-05-15 21:00:00,2018-05-15 22:00:00,0.0
Poaceae,DEVIEC,2018-05-15 21:00:00,2018-05-15 22:00:00,0.0
Pinus,DEBIED,2018-05-16 00:00:00,2018-05-16 01:00:00,0.0
Pinus,DEVIEC,2018-05-16 00:00:00,2018-05-16 01:00:00,23.84150779
Poaceae,DEBIED,2018-05-16 00:00:00,2018-05-16 01:00:00,0.0
Poaceae,DEVIEC,2018-05-16 00:00:00,2018-05-16 01:00:00,0.0
Pinus,DEBIED,2018-05-16 03:00:00,2018-05-16 04:00:00,0.0
Pinus,DEVIEC,2018-05-16 03:00:00,2018-05-16 04:00:00,33.3470615
Poaceae,DEBIED,2018-05-16 03:00:00,2018-05-16 04:00:00,9.547715447
Poaceae,DEVIEC,2018-05-16 03:00:00,2018-05-16 04:00:00,0.0
Pinus,DEBIED,2018-05-16 06:00:00,2018-05-16 07:00:00,0.0
Pinus,DEVIEC,2018-05-16 06:00:00,2018-05-16 07:00:00,14.29159779
Poaceae,DEBIED,2018-05-16 06:00:00,2018-05-16 07:00:00,0.0
Poaceae,DEVIEC,2018-05-16 06:00:00,2018-05-16 07:00:00,0.0
Pinus,DEBIED,2018-05-16 09:00:00,2018-05-16 10:00:00,0.0
Pinus,DEVIEC,2018-05-16 09:00:00,2018-05-16 10:00:00,38.07550835
Poaceae,DEBIED,2018-05-16 09:00:00,2018-05-16 10:00:00,0.0
Poaceae,DEVIEC,2018-05-16 09:00:00,2018-05-16 10:00:00,0.0
Pinus,DEBIED,2018-05-16 12:00:00,2018-05-16 13:00:00,0.0
Pinus,DEVIEC,2018-05-16 12:00:00,2018-05-16 13:00:00,23.81932964
